C¢digo municipio; Nombre municipio; C¢digo Establecimiento; Nombre Establecimiento; C¢digo Sede; Nombre Sede; Zona; Direcci¢n; TelÇfono
76122;CAICEDONIA;276122000872;IE LA CONSOLITA;276122000538;JORGE ELIECER GAITAN;RURAL;VDA LA MORELIA;3103874060
76122;CAICEDONIA;276122000872;IE LA CONSOLITA;276122000562;CELIO BAENA;RURAL;VDA RISARALDA;3103874060
76122;CAICEDONIA;276122000872;IE LA CONSOLITA;276122000112;LA TRIBUNA;RURAL;VDA LA TRIBUNA;3103874060
76122;CAICEDONIA;276122000201;IE GILBERTO ALZATE AVENDA•O;276122000309;CENT DOC  NO 10 SAN LUIS;RURAL;VDA PUERTO RICO;
76122;CAICEDONIA;176122000380;IE BOLIVARIANO;276122000210;SEDE RICARDO SUAREZ;RURAL;VDA ALTO BARRAGAN;
76122;CAICEDONIA;176122000380;IE BOLIVARIANO;176122000070;CONC  URB  JOSE EUSEBIO CARO;URBANA;CLL 5 NO 11-40;2160612
76126;CALIMA;276126000214;IE PABLO VI;276126000346;JUAQUIN E. PALOMINO;RURAL;VDA LA CAMELIA;
76126;CALIMA;276126000214;IE PABLO VI;276126000184;ANTONIA SANTOS;RURAL;VDA LA CRISTALINA;
76126;CALIMA;276126000133;CE JOHN F. KENNEDY;276126000133;JOHN F. KENNEDY;RURAL;VDA LA GAVIOTA BAJA;2.53323e+006
76126;CALIMA;276126000133;CE JOHN F. KENNEDY;276126000168;SANTA ANA;RURAL;VDA EL DIAMANTE;2.53322e+006
76126;CALIMA;176126000066;IE SIMON BOLIVAR;276126034003;ESC INDIG EMBERA CHAMI;URBANA;IND VDA RIO BRAVO;
76126;CALIMA;176126000066;IE SIMON BOLIVAR;276126000559;LLANITOS;RURAL;VDA LLANITOS;2533073
76126;CALIMA;176126000058;IE GIMNASIO DEL CALIMA;176126000058;GIMNASIO DEL CALIMA;URBANA;CR. 7 NO. 5-11;2533115-2533045
76126;CALIMA;176126000058;IE GIMNASIO DEL CALIMA;176126000082;GABRIELA MISTRAL;URBANA;CR. 7 NO. 5-56;2.53314e+006
76130;CANDELARIA;276130000822;IE MARINO RENJIFO SALCEDO;276130000318;ANTONIA SANTOS;RURAL;CORREG EL CABUYAL;
76130;CANDELARIA;276130000628;IE RODRIGO LLOREDA CAICEDO;276130000172;SIMON BOLIVAR;RURAL;CORREG SAN JOAQUIN;
76130;CANDELARIA;176130000399;IE NUESTRA SE•ORA DE  LA CANDELARIA;176130000356;SAGRADA FAMILIA;URBANA;CLL 7 NO 8-42;2646778
76130;CANDELARIA;176130000399;IE NUESTRA SE•ORA DE  LA CANDELARIA;176130000062;SANTO DOMINGO SAVIO;URBANA;CL 10 KR 11;2648392
